chain,draw,beta,estimate
0,300,1,1.0754070644219311
0,301,0,13.533235870290033
0,301,1,0.7229445125108558
0,302,0,13.535370327583001
0,302,1,0.6755178732146556
0,303,0,13.553602711118751
0,303,1,0.5547486524619121
0,304,0,13.5316734514986
0,304,1,0.7769616662854563
0,305,0,13.522522701207423
0,305,1,0.77070819696233
0,306,0,13.525019904812552
0,306,1,0.6432111259521484
0,307,0,13.477915631380036
0,307,1,1.1604862347389893
0,308,0,13.460816954840585
0,308,1,1.3943550162963703
0,309,0,13.531615317669642
0,309,1,0.6771468810080535
0,310,0,13.513090582210936
0,310,1,0.7279286273405307
0,311,0,13.525886689791253
0,311,1,0.8871345149268715
0,312,0,13.470533967500685
0,312,1,1.304312195000318
0,313,0,13.528221858638323
0,313,1,0.8494522362332385
0,314,0,13.56683751839627
0,314,1,0.36710525961668006
0,315,0,13.478466643024081
0,315,1,1.2273047282704186
0,316,0,13.589885208420634
0,316,1,0.1495420848771652
0,317,0,13.551535274893364
0,317,1,0.5737210886298095
0,318,0,13.479592681478584
0,318,1,1.1198333682404291
0,319,0,13.482388038495312
0,319,1,1.137854806722076
0,320,0,13.516279720138705
0,320,1,0.9092332425414404
0,321,0,13.499461453250456
0,321,1,1.0031775421999367
0,322,0,13.506840567147984
0,322,1,0.9189698406488389
0,323,0,13.48838940044826
0,323,1,0.9927126729779427
